STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",4/8/2016,7.16,0.01,0,0,,50,40,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/9/2016,6.49,0.11,0,0,,43,36,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/10/2016,4.92,0,0,0,,50,31,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/11/2016,6.93,0.01,0,0,,65,43,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/12/2016,5.82,0.2,0,0,,59,45,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/13/2016,4.47,0,0,0,,58,40,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/14/2016,6.49,0,0,0,,62,43,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/15/2016,3.8,0,0,0,,65,42,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/16/2016,4.92,0,0,0,,68,43,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/17/2016,2.91,0,0,0,,75,44,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/18/2016,3.8,0,0,0,,82,51,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/19/2016,7.61,0,0,0,,73,55,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/20/2016,6.04,0,0,0,,69,49,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/21/2016,5.59,0,0,0,,73,49,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/22/2016,4.25,0,0,0,,79,62,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/23/2016,7.16,0.16,0,0,,71,54,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",4/24/2016,5.82,0,0,0,,68,47,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/25/2016,4.03,0,0,0,,69,50,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/26/2016,7.16,0.24,0,0,,60,47,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",4/27/2016,4.25,0,0,0,,62,46,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/28/2016,4.7,0,0,0,,59,48,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/29/2016,5.82,0.05,0,0,,58,45,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/30/2016,5.82,0,0,0,,65,46,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/1/2016,4.92,0.16,0,0,,51,45,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/2/2016,2.24,0.04,0,0,,60,45,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/3/2016,6.04,0.61,0,0,,56,51,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/4/2016,8.72,0.01,0,0,,52,48,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/5/2016,8.28,0,0,0,,57,46,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/6/2016,7.83,0.54,0,0,,54,48,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/7/2016,4.47,0,0,0,,60,48,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/8/2016,4.7,0.16,0,0,,66,49,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/9/2016,5.14,0,0,0,,72,52,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/10/2016,4.92,0,0,0,,63,50,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/11/2016,2.46,0,0,0,,76,50,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/12/2016,3.36,0,0,0,,80,56,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/13/2016,,0.25,0,0,,65,57,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/14/2016,,0,0,0,,73,56,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/15/2016,,0,0,0,,59,46,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/16/2016,,0,0,0,,66,43,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/17/2016,3.8,0,0,0,,64,52,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/18/2016,,0,0,0,,68,52,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/19/2016,1.34,0,0,0,,73,54,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/20/2016,4.47,0,0,0,,76,53,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/21/2016,3.8,0.04,0,0,,66,54,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/22/2016,3.58,0.09,0,0,,70,52,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/23/2016,2.46,0.02,0,0,,78,56,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/24/2016,2.01,0.18,0,0,,73,58,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/25/2016,4.25,0,0,0,,88,61,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/26/2016,3.58,0,0,0,,90,69,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/27/2016,3.8,0,0,0,,87,73,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/28/2016,4.47,0,0,0,,92,71,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/29/2016,4.92,0,0,0,,87,70,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/30/2016,3.13,1.65,0,0,,82,68,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",5/31/2016,3.13,0,0,0,,85,71,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/1/2016,6.04,0,0,0,,83,66,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/2/2016,4.7,0,0,0,,78,62,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/3/2016,1.34,0.04,0,0,,70,63,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/4/2016,2.46,0.4,0,0,,83,66,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/5/2016,3.36,0.91,0,0,,71,65,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/6/2016,5.59,0,0,0,,83,65,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/7/2016,5.14,0,0,0,,85,64,,,,,,
