Country,Year,HappinessScore,LifeLadder,LogGDP,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment
Bulgaria,2018,5.011,5.09881353378296,9.87321853637695,0.923853278160095,66.8000030517578,0.724335908889771,-0.17910960316658,0.952014446258545,0.639021873474121,0.189090982079506,0.218995898962021
Burkina Faso,2018,4.587,4.92723608016968,7.47052001953125,0.664859473705292,53.9000015258789,0.720743477344513,-0.004381240811199,0.75739860534668,0.710883557796478,0.342865526676178,0.622255086898804
Burundi,2018,3.775,3.77528309822083,6.5410327911377,0.484715223312378,53.4000015258789,0.646398603916168,-0.019334172829986,0.598607659339905,0.66644150018692,0.362766593694687,
Cambodia,2018,4.7,5.1218376159668,8.25335216522217,0.794605374336243,61.5999984741211,0.958304822444916,0.03378676623106,,0.8445925116539,0.414345800876617,
Cameroon,2018,5.044,5.25073766708374,8.13347053527832,0.676825225353241,52.7000007629395,0.816304981708527,0.032506916671991,0.884441614151001,0.642436504364014,0.355642408132553,0.645226299762726
Canada,2018,7.278,7.17549657821655,10.7012481689453,0.92271876335144,73.5999984741211,0.945782899856567,0.097966127097607,0.371740847826004,0.823668658733368,0.259397655725479,0.61046689748764
Chad,2018,4.35,4.48632526397705,7.47257471084595,0.577253580093384,48.2000007629395,0.650354564189911,0.011340086348355,0.762879312038422,0.552737295627594,0.543836236000061,0.577436029911041
Chile,2018,6.444,6.43622064590454,10.0659198760986,0.89008492231369,69.9000015258789,0.788530349731445,-0.070615842938423,0.81629741191864,0.832562208175659,0.275820225477219,0.334744155406952
China,2018,5.191,5.13143396377564,9.69437599182129,0.787605345249176,69.3000030517578,0.895377695560455,-0.174899160861969,,0.855783879756928,0.189639791846275,
Colombia,2018,6.125,5.98351240158081,9.51173400878906,0.87097042798996,67.6999969482422,0.850765764713287,-0.155047997832298,0.854820907115936,0.825455188751221,0.30062410235405,0.274869501590729
